site,Count_Date,dayOfYear,Start_Time,surveyYear,Interval_1,Interval_2,Interval_3,Interval_4,Interval_5,Interval_6,Interval_7,Interval_8,Interval_9,Interval_10,Interval_11,Interval_12,Interval_13,Interval_14,Interval_15,Interval_16,Interval_17,Interval_18,Interval_19,Interval_20,Interval_21,Interval_22,Interval_23,Interval_24,sunrise,mas
801,2022-06-18,169,7H 33M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-18T12:29:12Z,123.99999999999999
814,2022-06-20,171,8H 42M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-20T12:29:28Z,192.99999999999994
833,2023-05-17,137,6H 47M 0S,2023,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-17T12:45:00Z,61.99999999999999
835,2023-05-17,137,7H 15M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-17T12:45:00Z,90
840,2023-05-14,134,8H 12M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-14T12:48:14Z,143.99999999999997
844,2023-05-19,139,6H 43M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-19T12:42:59Z,61
872,2023-06-05,156,7H 19M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-05T12:31:11Z,107.99999999999999
876,2022-06-23,174,5H 43M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-23T12:30:08Z,13.000000000000007
900,2022-06-14,165,7H 9M 0S,2022,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-14T12:29:06Z,100.00000000000001
907,2023-06-15,166,8H 45M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-15T12:29:05Z,196
916,2023-06-09,160,6H 6M 0S,2023,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-09T12:29:53Z,36.99999999999997
920,2023-06-01,152,6H 27M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-01T12:33:03Z,54.00000000000002
923,2022-06-13,164,9H 5M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-13T12:29:11Z,216.00000000000003
927,2022-06-16,167,9H 27M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-16T12:29:05Z,237.99999999999994
933,2023-06-08,159,5H 49M 0S,2023,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-08T12:30:09Z,18.999999999999986
936,2023-06-15,166,9H 0M 0S,2023,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-15T12:29:05Z,211
941,2022-06-08,159,6H 57M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-08T12:30:05Z,87.00000000000001
947,2023-06-02,153,8H 20M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-02T12:32:32Z,168.00000000000006
948,2023-05-09,129,9H 1M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-09T12:54:12Z,187.00000000000003
955,2022-06-19,170,8H 21M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-19T12:29:19Z,171.99999999999997
955,2023-06-11,162,6H 5M 0S,2023,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-11T12:29:28Z,35.99999999999998
967,2023-06-06,157,7H 33M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-06T12:30:48Z,122.99999999999999
975,2022-06-25,176,8H 34M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-25T12:30:45Z,184
980,2023-05-30,150,6H 30M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-30T12:34:12Z,56.000000000000014
981,2022-06-29,180,9H 20M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-29T12:32:24Z,228.00000000000006
982,2022-06-27,178,9H 0M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-27T12:31:31Z,209
986,2022-06-29,180,6H 19M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-29T12:32:24Z,46.99999999999999
991,2022-06-19,170,7H 16M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-19T12:29:19Z,107
1010,2023-05-10,130,9H 5M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-10T12:52:57Z,193
1019,2023-05-18,138,8H 27M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-18T12:43:59Z,163.99999999999994
1020,2022-06-13,164,7H 1M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-13T12:29:11Z,92
1025,2022-06-08,159,9H 28M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-08T12:30:05Z,238
1041,2023-05-03,123,8H 4M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-03T13:02:11Z,122
1055,2022-06-16,167,5H 42M 0S,2022,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-16T12:29:05Z,13.000000000000007
1066,2023-06-18,169,8H 25M 0S,2023,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-18T12:29:10Z,175.99999999999997
1067,2023-06-08,159,8H 42M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-08T12:30:09Z,191.99999999999994
1069,2023-05-22,142,8H 30M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-22T12:40:12Z,169.99999999999997
1089,2023-05-03,123,8H 57M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-03T13:02:11Z,174.99999999999997
1091,2023-05-25,145,7H 20M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-25T12:37:42Z,102.99999999999996
1101,2022-06-09,160,7H 46M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-09T12:29:50Z,137
1102,2023-06-08,159,6H 38M 0S,2023,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-08T12:30:09Z,67.99999999999997
1109,2023-05-19,139,9H 12M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-19T12:42:59Z,209.99999999999994
1121,2023-06-09,160,8H 37M 0S,2023,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-09T12:29:53Z,188.00000000000003
1122,2022-06-08,159,7H 23M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-08T12:30:05Z,113.00000000000003
1123,2023-06-09,160,8H 22M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-09T12:29:53Z,173.00000000000003
1133,2023-05-23,143,8H 0M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-23T12:39:20Z,140.99999999999997
1144,2023-05-20,140,5H 51M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-20T12:42:02Z,8.999999999999968
1188,2022-06-24,175,9H 31M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-24T12:30:26Z,241.00000000000006
1189,2022-06-16,167,5H 57M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-16T12:29:05Z,28.000000000000007
1194,2023-05-09,129,6H 31M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-09T12:54:12Z,36.99999999999997
1231,2022-06-28,179,5H 43M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-28T12:31:57Z,12.00000000000001
1233,2023-05-30,150,9H 30M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-30T12:34:12Z,236
1251,2023-05-04,124,6H 8M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-04T13:00:48Z,8.000000000000025
1255,2023-05-27,147,5H 57M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-27T12:36:12Z,21.000000000000032
1261,2023-05-18,138,7H 26M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-18T12:43:59Z,103
1262,2023-05-18,138,7H 42M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-18T12:43:59Z,119
1270,2022-06-16,167,8H 31M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-16T12:29:05Z,182.00000000000006
1270,2023-05-20,140,7H 25M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-20T12:42:02Z,103
1292,2023-05-17,137,6H 30M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-17T12:45:00Z,45
1306,2023-05-08,128,7H 10M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-08T12:55:28Z,75
1325,2023-06-08,159,5H 45M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-08T12:30:09Z,15
1326,2022-06-24,175,8H 24M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-24T12:30:26Z,174.00000000000003
1345,2022-06-23,174,7H 24M 0S,2022,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-23T12:30:08Z,114.00000000000003
1345,2023-06-15,166,8H 12M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-15T12:29:05Z,162.99999999999994
1356,2023-06-15,166,7H 58M 0S,2023,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-15T12:29:05Z,149
1375,2023-06-09,160,7H 7M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-09T12:29:53Z,97.99999999999997
1376,2022-06-20,171,7H 5M 0S,2022,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-20T12:29:28Z,95.99999999999997
1380,2023-05-23,143,7H 45M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-23T12:39:20Z,125.99999999999997
1386,2023-06-15,166,8H 30M 0S,2023,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-15T12:29:05Z,181
