"","Lark_ID","firstInterval","firstDet","site","Count_Date","Start_Time","dayOfYear","surveyYear","Interval_1","Interval_2","Interval_3","Interval_4","Interval_5","Interval_6","Interval_7","Interval_8","Interval_9","Interval_10","Interval_11","Interval_12"
"107",NA,NA,NA,"1778",2025-05-22,7H 55M 0S,142,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,"4224",2025-05-22,8H 20M 0S,142,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,NA,"1240",2025-05-22,8H 41M 0S,142,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,NA,"1461",2025-05-22,9H 0M 0S,142,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,"5364",2025-05-21,10H 1M 0S,141,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,NA,"978",2025-05-22,5H 58M 0S,142,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,NA,"4258",2025-05-22,6H 39M 0S,142,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,"4497",2025-05-22,7H 6M 0S,142,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,"342",2025-05-22,9H 34M 0S,142,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",NA,NA,NA,"482",2025-05-22,10H 3M 0S,142,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",NA,NA,NA,"3171",2025-06-06,9H 59M 0S,157,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,NA,"1358",2025-06-06,9H 9M 0S,157,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,NA,"5588",2025-06-06,7H 56M 0S,157,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,NA,"4963",2025-06-06,7H 37M 0S,157,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,NA,"4965",2025-06-06,7H 19M 0S,157,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,NA,"4346",2025-06-06,6H 9M 0S,157,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,NA,"1117",2025-06-05,9H 51M 0S,156,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,"1740",2025-06-05,9H 30M 0S,156,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,"948",2025-06-05,9H 9M 0S,156,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,NA,"5276",2025-06-05,8H 42M 0S,156,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,NA,"2792",2025-06-05,7H 56M 0S,156,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",NA,NA,NA,"923",2025-06-05,7H 1M 0S,156,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",NA,NA,NA,"3707",2025-06-05,6H 24M 0S,156,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,"4732",2025-06-05,6H 3M 0S,156,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,NA,NA,"1861",2025-06-04,9H 51M 0S,155,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",NA,NA,NA,"1325",2025-06-04,9H 8M 0S,155,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",NA,NA,NA,"5464",2025-06-04,8H 50M 0S,155,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",NA,NA,NA,"1101",2025-06-04,8H 33M 0S,155,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",NA,NA,NA,"1213",2025-06-04,7H 30M 0S,155,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",NA,NA,NA,"2669",2025-06-04,7H 7M 0S,155,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
